grade_id,semester_code,user_code,subject_code,score
1,201811,100018001,1,56
2,201811,100018001,2,55
3,201811,100018001,3,56
4,201811,100018001,4,56
5,201811,100018001,5,54
6,201811,100018001,6,56
7,201811,100018001,7,58
8,201811,100018001,8,58
9,201811,100018001,9,56
10,201811,100018002,1,25
11,201811,100018002,2,24
12,201811,100018002,3,26
13,201811,100018002,4,27
14,201811,100018002,5,28
15,201811,100018002,6,25
16,201811,100018002,7,27
17,201811,100018002,8,26
18,201811,100018002,9,28
19,201811,100018003,1,44
20,201811,100018003,2,46
21,201811,100018003,3,47
22,201811,100018003,4,45
23,201811,100018003,5,44
24,201811,100018003,6,46
25,201811,100018003,7,48
26,201811,100018003,8,47
27,201811,100018003,9,48
28,201811,100018004,1,37
29,201811,100018004,2,37
30,201811,100018004,3,38
31,201811,100018004,4,37
32,201811,100018004,5,38
33,201811,100018004,6,38
34,201811,100018004,7,41
35,201811,100018004,8,40
36,201811,100018004,9,40
37,201811,100018005,1,18
38,201811,100018005,2,14
39,201811,100018005,3,14
40,201811,100018005,4,16
41,201811,100018005,5,18
42,201811,100018005,6,14
43,201811,100018005,7,17
44,201811,100018005,8,13
45,201811,100018005,9,20
46,201811,100018006,1,55
47,201811,100018006,2,55
48,201811,100018006,3,56
49,201811,100018006,4,56
50,201811,100018006,5,54
51,201811,100018006,6,56
52,201811,100018006,7,58
53,201811,100018006,8,58
54,201811,100018006,9,56
55,201811,100018007,1,47
56,201811,100018007,2,48
57,201811,100018007,3,49
58,201811,100018007,4,47
59,201811,100018007,5,47
60,201811,100018007,6,48
61,201811,100018007,7,51
62,201811,100018007,8,49
63,201811,100018007,9,51
64,201811,100018008,1,39
65,201811,100018008,2,40
66,201811,100018008,3,40
67,201811,100018008,4,40
68,201811,100018008,5,39
69,201811,100018008,6,40
70,201811,100018008,7,44
71,201811,100018008,8,42
72,201811,100018008,9,42
73,201811,100018009,1,38
74,201811,100018009,2,39
75,201811,100018009,3,40
76,201811,100018009,4,39
77,201811,100018009,5,39
78,201811,100018009,6,40
79,201811,100018009,7,43
80,201811,100018009,8,41
81,201811,100018009,9,42
82,201811,100018010,1,38
83,201811,100018010,2,39
84,201811,100018010,3,40
85,201811,100018010,4,39
86,201811,100018010,5,39
87,201811,100018010,6,39
88,201811,100018010,7,43
89,201811,100018010,8,41
90,201811,100018010,9,41
91,201811,100018011,1,32
92,201811,100018011,2,33
93,201811,100018011,3,33
94,201811,100018011,4,35
95,201811,100018011,5,34
96,201811,100018011,6,34
97,201811,100018011,7,36
98,201811,100018011,8,35
99,201811,100018011,9,34
100,201811,100018012,1,49
101,201811,100018012,2,50
102,201811,100018012,3,51
103,201811,100018012,4,50
104,201811,100018012,5,49
105,201811,100018012,6,50
106,201811,100018012,7,53
107,201811,100018012,8,52
108,201811,100018012,9,53
109,201811,100018013,1,37
110,201811,100018013,2,38
111,201811,100018013,3,39
112,201811,100018013,4,38
113,201811,100018013,5,38
114,201811,100018013,6,38
115,201811,100018013,7,41
116,201811,100018013,8,40
117,201811,100018013,9,41
118,201811,100018014,1,78
119,201811,100018014,2,80
120,201811,100018014,3,81
121,201811,100018014,4,75
122,201811,100018014,5,73
123,201811,100018014,6,78
124,201811,100018014,7,75
125,201811,100018014,8,77
126,201811,100018014,9,77
127,201811,100018015,1,56
128,201811,100018015,2,55
129,201811,100018015,3,56
130,201811,100018015,4,56
131,201811,100018015,5,55
132,201811,100018015,6,56
133,201811,100018015,7,58
134,201811,100018015,8,58
135,201811,100018015,9,57
136,201811,100018016,1,65
137,201811,100018016,2,66
138,201811,100018016,3,68
139,201811,100018016,4,63
140,201811,100018016,5,61
141,201811,100018016,6,65
142,201811,100018016,7,66
143,201811,100018016,8,67
144,201811,100018016,9,67
145,201811,100018017,1,34
146,201811,100018017,2,34
147,201811,100018017,3,35
148,201811,100018017,4,36
149,201811,100018017,5,35
150,201811,100018017,6,36
151,201811,100018017,7,39
152,201811,100018017,8,36
153,201811,100018017,9,37
154,201811,100018018,1,33
155,201811,100018018,2,34
156,201811,100018018,3,35
157,201811,100018018,4,36
158,201811,100018018,5,35
159,201811,100018018,6,35
160,201811,100018018,7,39
161,201811,100018018,8,36
162,201811,100018018,9,37
163,201811,100018019,1,39
164,201811,100018019,2,40
165,201811,100018019,3,41
166,201811,100018019,4,40
167,201811,100018019,5,39
168,201811,100018019,6,40
169,201811,100018019,7,44
170,201811,100018019,8,42
171,201811,100018019,9,43
172,201811,100018020,1,33
173,201811,100018020,2,34
174,201811,100018020,3,34
175,201811,100018020,4,35
176,201811,100018020,5,35
177,201811,100018020,6,34
178,201811,100018020,7,38
179,201811,100018020,8,35
180,201811,100018020,9,36
181,201811,100018021,1,62
182,201811,100018021,2,64
183,201811,100018021,3,63
184,201811,100018021,4,60
185,201811,100018021,5,58
186,201811,100018021,6,62
187,201811,100018021,7,63
188,201811,100018021,8,63
189,201811,100018021,9,62
190,201811,100018022,1,61
191,201811,100018022,2,63
192,201811,100018022,3,63
193,201811,100018022,4,60
194,201811,100018022,5,58
195,201811,100018022,6,61
196,201811,100018022,7,62
197,201811,100018022,8,63
198,201811,100018022,9,62
199,201811,100018023,1,23
200,201811,100018023,2,22
201,201811,100018023,3,24
202,201811,100018023,4,22
203,201811,100018023,5,24
204,201811,100018023,6,24
205,201811,100018023,7,24
206,201811,100018023,8,23
207,201811,100018023,9,26
208,201811,100018024,1,33
209,201811,100018024,2,34
210,201811,100018024,3,35
211,201811,100018024,4,35
212,201811,100018024,5,35
213,201811,100018024,6,35
214,201811,100018024,7,38
215,201811,100018024,8,36
216,201811,100018024,9,37
217,201811,100018025,1,38
218,201811,100018025,2,38
219,201811,100018025,3,39
220,201811,100018025,4,39
221,201811,100018025,5,38
222,201811,100018025,6,39
223,201811,100018025,7,42
224,201811,100018025,8,40
225,201811,100018025,9,41
226,201811,100018026,1,77
227,201811,100018026,2,79
228,201811,100018026,3,79
229,201811,100018026,4,73
230,201811,100018026,5,72
231,201811,100018026,6,77
232,201811,100018026,7,75
233,201811,100018026,8,75
234,201811,100018026,9,75
235,201811,100018027,1,63
236,201811,100018027,2,65
237,201811,100018027,3,65
238,201811,100018027,4,62
239,201811,100018027,5,60
240,201811,100018027,6,63
241,201811,100018027,7,65
242,201811,100018027,8,64
243,201811,100018027,9,64
244,201811,100018028,1,22
245,201811,100018028,2,20
246,201811,100018028,3,23
247,201811,100018028,4,21
248,201811,100018028,5,22
249,201811,100018028,6,21
250,201811,100018028,7,21
251,201811,100018028,8,22
252,201811,100018028,9,25
253,201811,100018029,1,44
254,201811,100018029,2,46
255,201811,100018029,3,47
256,201811,100018029,4,45
257,201811,100018029,5,45
258,201811,100018029,6,46
259,201811,100018029,7,49
260,201811,100018029,8,47
261,201811,100018029,9,48
262,201811,100018030,1,63
263,201811,100018030,2,65
264,201811,100018030,3,66
265,201811,100018030,4,62
266,201811,100018030,5,60
267,201811,100018030,6,64
268,201811,100018030,7,65
269,201811,100018030,8,65
270,201811,100018030,9,65
271,201811,100018031,1,62
272,201811,100018031,2,64
273,201811,100018031,3,65
274,201811,100018031,4,61
275,201811,100018031,5,60
276,201811,100018031,6,63
277,201811,100018031,7,64
278,201811,100018031,8,64
279,201811,100018031,9,63
280,201811,100018032,1,38
281,201811,100018032,2,38
282,201811,100018032,3,39
283,201811,100018032,4,39
284,201811,100018032,5,39
285,201811,100018032,6,39
286,201811,100018032,7,43
287,201811,100018032,8,41
288,201811,100018032,9,41
289,201811,100018033,1,47
290,201811,100018033,2,49
291,201811,100018033,3,50
292,201811,100018033,4,49
293,201811,100018033,5,48
294,201811,100018033,6,49
295,201811,100018033,7,51
296,201811,100018033,8,50
297,201811,100018033,9,52
298,201811,100018034,1,60
299,201811,100018034,2,61
300,201811,100018034,3,61
