grade_id,semester_code,user_code,subject_code,score,home_class
1,201811,100018001,1,56,1
2,201811,100018001,2,55,1
3,201811,100018001,3,56,1
4,201811,100018001,4,56,1
5,201811,100018001,5,54,1
6,201811,100018001,6,56,1
7,201811,100018001,7,58,1
8,201811,100018001,8,58,1
9,201811,100018001,9,56,1
3376,201812,100018001,1,56,1
3377,201812,100018001,2,45,1
3378,201812,100018001,3,48,1
3379,201812,100018001,4,48,1
3380,201812,100018001,5,56,1
3381,201812,100018001,6,64,1
3382,201812,100018001,7,57,1
3383,201812,100018001,8,40,1
3384,201812,100018001,9,55,1
6751,201821,100018001,1,45,1
6752,201821,100018001,2,46,1
6753,201821,100018001,3,57,1
6754,201821,100018001,4,63,1
6755,201821,100018001,5,40,1
6756,201821,100018001,6,42,1
6757,201821,100018001,7,56,1
6758,201821,100018001,8,58,1
6759,201821,100018001,9,56,1
10126,201822,100018001,1,60,1
10127,201822,100018001,2,41,1
10128,201822,100018001,3,63,1
10129,201822,100018001,4,57,1
10130,201822,100018001,5,46,1
10131,201822,100018001,6,57,1
10132,201822,100018001,7,56,1
10133,201822,100018001,8,43,1
10134,201822,100018001,9,58,1
13501,201911,100018001,10,53,1
13502,201911,100018001,11,62,1
13503,201911,100018001,12,55,1
13504,201911,100018001,13,70,1
13505,201911,100018001,14,54,1
13506,201911,100018001,15,39,1
13507,201911,100018001,16,57,1
13508,201911,100018001,17,54,1
13509,201911,100018001,18,63,1
20251,201912,100018001,10,45,1
20252,201912,100018001,11,63,1
20253,201912,100018001,12,57,1
20254,201912,100018001,13,54,1
20255,201912,100018001,14,56,1
20256,201912,100018001,15,48,1
20257,201912,100018001,16,39,1
20258,201912,100018001,17,56,1
20259,201912,100018001,18,60,1
27001,201921,100018001,10,62,1
27002,201921,100018001,11,49,1
27003,201921,100018001,12,39,1
27004,201921,100018001,13,56,1
27005,201921,100018001,14,42,1
27006,201921,100018001,15,57,1
27007,201921,100018001,16,46,1
27008,201921,100018001,17,57,1
27009,201921,100018001,18,55,1
33751,201922,100018001,10,47,1
33752,201922,100018001,11,46,1
33753,201922,100018001,12,57,1
33754,201922,100018001,13,43,1
33755,201922,100018001,14,58,1
33756,201922,100018001,15,57,1
33757,201922,100018001,16,39,1
33758,201922,100018001,17,63,1
33759,201922,100018001,18,71,1
40501,202011,100018001,19,58,1
40502,202011,100018001,20,57,1
40503,202011,100018001,21,56,1
40504,202011,100018001,22,56,1
40505,202011,100018001,23,56,1
40506,202011,100018001,24,57,1
40507,202011,100018001,25,56,1
40508,202011,100018001,26,58,1
40509,202011,100018001,27,57,1
50626,202012,100018001,19,42,1
50627,202012,100018001,20,64,1
50628,202012,100018001,21,56,1
50629,202012,100018001,22,47,1
50630,202012,100018001,23,56,1
50631,202012,100018001,24,39,1
50632,202012,100018001,25,57,1
50633,202012,100018001,26,62,1
50634,202012,100018001,27,71,1
10,201811,100018002,1,25,1
11,201811,100018002,2,24,1
12,201811,100018002,3,26,1
13,201811,100018002,4,27,1
14,201811,100018002,5,28,1
15,201811,100018002,6,25,1
16,201811,100018002,7,27,1
17,201811,100018002,8,26,1
18,201811,100018002,9,28,1
3385,201812,100018002,1,27,1
3386,201812,100018002,2,11,1
3387,201812,100018002,3,23,1
3388,201812,100018002,4,19,1
3389,201812,100018002,5,24,1
3390,201812,100018002,6,39,1
3391,201812,100018002,7,28,1
3392,201812,100018002,8,18,1
3393,201812,100018002,9,26,1
6760,201821,100018002,1,21,1
6761,201821,100018002,2,23,1
6762,201821,100018002,3,25,1
6763,201821,100018002,4,38,1
6764,201821,100018002,5,17,1
6765,201821,100018002,6,8,1
6766,201821,100018002,7,26,1
